product,date,sales
Suprotac Vial  5,140211,260
Suprotac Vial  5,140212,260
Suprotac Vial  5,140301,260
Suprotac Vial  5,140302,260
Tabinoz,140101,0
Tabinoz,140102,0
Tabinoz,140103,0
Tabinoz,140104,0
Tabinoz,140105,0
Tabinoz,140106,0
Tabinoz,140107,0
Tabinoz,140108,0
Tabinoz,140109,0
Tabinoz,140110,0
Tabinoz,140111,0
Tabinoz,140112,0
Tabinoz,140201,0
Tabinoz,140202,0
Tabinoz,140203,0
Tabinoz,140204,0
Tabinoz,140205,0
Tabinoz,140206,0
Tabinoz,140207,0
Tabinoz,140208,1
Tabinoz,140209,1
Tabinoz,140210,1
Tabinoz,140211,1
Tabinoz,140212,1
Tabinoz,140301,1
Tabinoz,140302,1
Temziva,139905,940
Temziva,139906,3007
Temziva,139907,6739
Temziva,139908,13588
Temziva,139909,19821
Temziva,139910,20596
Temziva,139911,21446
Temziva,139912,23689
Temziva,140001,36964
Temziva,140002,53213
Temziva,140003,59601
Temziva,140004,79901
Temziva,140005,126479
Temziva,140006,154348
Temziva,140007,174425
Temziva,140008,184199
Temziva,140009,187965
Temziva,140010,189680
Temziva,140011,194235
Temziva,140012,196673
Temziva,140101,196680
Temziva,140102,196557
Temziva,140103,195965
Temziva,140104,195929
Temziva,140105,195909
Temziva,140106,195729
Temziva,140107,195676
Temziva,140108,195586
Temziva,140109,195602
Temziva,140110,195692
Temziva,140111,195712
Temziva,140112,195964
Temziva,140201,196317
Temziva,140202,196230
Temziva,140203,196261
Temziva,140204,196236
Temziva,140205,196242
Temziva,140206,196250
Temziva,140207,196277
Temziva,140208,196518
Temziva,140209,196677
Temziva,140210,196858
Temziva,140211,197020
Temziva,140212,197096
Temziva,140301,197233
Temziva,140302,197277
Tenzala 40,140101,0
Tenzala 40,140102,0
Tenzala 40,140103,0
Tenzala 40,140104,0
Tenzala 40,140105,0
Tenzala 40,140106,0
Tenzala 40,140107,0
Tenzala 40,140108,0
Tenzala 40,140109,0
Tenzala 40,140110,0
Tenzala 40,140111,0
Tenzala 40,140112,0
Tenzala 40,140201,0
Tenzala 40,140202,0
Tenzala 40,140203,73
Tenzala 40,140204,85
Tenzala 40,140205,89
Tenzala 40,140206,89
Tenzala 40,140207,89
Tenzala 40,140208,89
Tenzala 40,140209,89
Tenzala 40,140210,89
Tenzala 40,140211,158
Tenzala 40,140212,262
Tenzala 40,140301,274
Tenzala 40,140302,279
Tenzala 80,140101,0
Tenzala 80,140102,0
Tenzala 80,140103,0
